"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:13.3","6:13.3","1.00","6:13","--","149","156","1","2","--","--","--","--","168","--","--","0.95","--","--","61","26.0","5:55","173","6:13","6:13"
"2","6:18.4","12:32","1.00","6:18","--","155","158","1","1","--","--","--","--","172","--","--","0.92","--","--","64","24.0","5:48","176","6:18.4","6:18"
"3","6:43.5","19:15","1.00","6:43","--","153","156","0","0","--","--","--","--","172","--","--","0.87","--","--","66","25.0","6:11","176","6:43","6:43"
"4","6:39.7","25:55","1.00","6:40","--","155","158","0","1","--","--","--","--","172","--","--","0.87","--","--","66","26.0","6:23","176","6:39.7","6:40"
"5","6:38.1","32:33","1.00","6:38","--","156","161","0","1","--","--","--","--","172","--","--","0.88","--","--","67","27.0","6:23","178","6:38.1","6:38"
"6","6:44.6","39:17","1.00","6:45","--","158","161","0","0","--","--","--","--","173","--","--","0.86","--","--","67","26.0","6:30","179","6:43","6:43"
"7","6:50.6","46:08","1.00","6:51","--","156","159","0","0","--","--","--","--","171","--","--","0.85","--","--","66","26.0","6:34","178","6:50.6","6:51"
"8","6:51.2","52:59","1.00","6:51","--","156","158","0","1","--","--","--","--","172","--","--","0.85","--","--","66","26.0","6:20","174","6:51.2","6:51"
"9","7:00.6","1:00:00","1.00","7:01","--","155","159","7","1","--","--","--","--","170","--","--","0.84","--","--","68","26.0","6:33","175","7:00","7:00"
"10","7:36.5","1:07:36","1.00","7:37","--","158","162","22","1","--","--","--","--","168","--","--","0.78","--","--","73","27.0","6:49","173","7:36","7:36"
"11","6:29.4","1:14:06","1.00","6:29","--","153","159","0","26","--","--","--","--","169","--","--","0.91","--","--","60","27.0","6:03","176","6:29.4","6:29"
"12","7:07.4","1:21:13","1.00","7:07","--","154","157","0","4","--","--","--","--","171","--","--","0.82","--","--","64","26.0","6:41","177","7:07","7:07"
"13","6:58.3","1:28:12","1.00","6:58","--","157","162","2","3","--","--","--","--","171","--","--","0.84","--","--","66","26.0","6:20","174","6:58","6:58"
"14","7:15.1","1:35:27","1.00","7:15","--","157","161","1","1","--","--","--","--","169","--","--","0.82","--","--","66","26.0","7:00","174","7:15","7:15"
"15","7:17.9","1:42:44","1.00","7:18","--","157","160","0","0","--","--","--","--","171","--","--","0.80","--","--","65","26.0","7:10","176","7:17.9","7:18"
"16","7:32.2","1:50:17","1.00","7:32","--","157","160","7","0","--","--","--","--","168","--","--","0.79","--","--","66","26.0","7:02","173","7:32.2","7:32"
"17","7:48.8","1:58:05","1.00","7:49","--","155","159","2","0","--","--","--","--","166","--","--","0.77","--","--","63","25.0","7:05","174","7:47","7:47"
"18","7:58.5","2:06:04","1.00","7:58","--","154","157","7","0","--","--","--","--","169","--","--","0.74","--","--","62","25.0","7:46","174","7:58.5","7:58"
"19","7:22.9","2:13:27","1.00","7:23","--","154","157","0","10","--","--","--","--","167","--","--","0.81","--","--","60","26.0","6:54","173","7:22.9","7:23"
"20","7:30.7","2:20:57","1.00","7:31","--","154","157","1","8","--","--","--","--","168","--","--","0.79","--","--","61","24.0","7:05","173","7:30","7:30"
"21","7:46.8","2:28:44","1.00","7:47","--","153","157","0","7","--","--","--","--","163","--","--","0.79","--","--","61","24.0","7:27","171","7:46.8","7:47"
