"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"22","7:55.0","2:36:39","1.00","7:55","--","154","157","1","2","--","--","--","--","166","--","--","0.76","--","--","60","25.0","7:27","173","7:54","7:54"
"23","8:07.5","2:44:47","1.00","8:08","--","156","159","0","1","--","--","--","--","166","--","--","0.74","--","--","61","26.0","7:19","171","8:07.5","8:07"
"24","8:06.8","2:52:53","1.00","8:07","--","156","161","1","3","--","--","--","--","161","--","--","0.77","--","--","63","26.0","6:49","172","7:56","7:56"
"25","8:11.3","3:01:05","1.00","8:11","--","157","161","0","1","--","--","--","--","165","--","--","0.74","--","--","60","25.0","7:34","173","8:11","8:11"
"26","8:33.9","3:09:39","1.00","8:34","--","156","159","0","2","--","--","--","--","156","--","--","0.75","--","--","63","26.0","7:28","167","8:25","8:25"
"27","9:43.1","3:19:22","1.00","9:43","--","151","170","3","1","--","--","--","--","133","--","--","0.77","--","--","62","27.0","7:27","169","9:09","9:09"
"28","8:12.9","3:27:35","1.00","8:13","--","153","159","0","2","--","--","--","--","156","--","--","0.78","--","--","59","27.0","7:17","169","7:55","7:55"
"29","8:42.4","3:36:17","1.00","8:42","--","155","158","0","1","--","--","--","--","162","--","--","0.71","--","--","58","26.0","7:44","167","8:42","8:42"
"30","9:59.2","3:46:16","1.00","9:59","--","149","156","0","2","--","--","--","--","136","--","--","0.74","--","--","60","27.0","7:36","167","9:25","9:25"
"31","9:04.0","3:55:20","1.00","9:04","--","151","155","0","0","--","--","--","--","159","--","--","0.69","--","--","57","27.0","7:23","167","9:04.0","9:04"
"32","9:02.2","4:04:22","1.00","9:02","--","155","160","0","1","--","--","--","--","162","--","--","0.69","--","--","58","27.0","8:28","169","9:02","9:02"
"33","10:15","4:14:38","1.00","10:15","--","145","157","0","0","--","--","--","--","128","--","--","0.76","--","--","58","29.0","7:02","165","9:43","9:43"
"34","9:17.6","4:23:55","1.00","9:18","--","152","155","1","3","--","--","--","--","158","--","--","0.68","--","--","57","29.0","7:44","165","9:17.6","9:18"
"35","9:42.6","4:33:38","1.00","9:43","--","152","156","1","1","--","--","--","--","149","--","--","0.69","--","--","60","30.0","8:28","165","9:16","9:16"
"36","10:42","4:44:20","1.00","10:42","--","144","152","22","0","--","--","--","--","121","--","--","0.77","--","--","62","30.0","6:40","161","10:42","10:42"
"37","7:41.6","4:52:01","1.00","7:42","--","152","161","7","11","--","--","--","--","153","--","--","0.85","--","--","54","29.0","5:25","173","7:39","7:39"
"38","7:31.9","4:59:33","1.00","7:32","--","156","162","0","20","--","--","--","--","158","--","--","0.84","--","--","62","30.0","6:35","174","7:26","7:26"
"39","8:05.4","5:07:39","1.00","8:05","--","158","163","0","0","--","--","--","--","160","--","--","0.77","--","--","64","30.0","6:41","173","8:05","8:05"
"40","8:56.2","5:16:35","1.00","8:56","--","152","161","0","0","--","--","--","--","144","--","--","0.78","--","--","60","32.0","6:40","171","8:56","8:56"
"41","8:48.6","5:25:24","1.00","8:49","--","153","159","0","0","--","--","--","--","152","--","--","0.75","--","--","59","31.0","7:46","172","8:48","8:48"
"42","8:41.7","5:34:05","1.00","8:42","--","154","158","0","1","--","--","--","--","154","--","--","0.75","--","--","57","30.0","7:02","171","8:41.7","8:42"
"43","5:31.6","5:39:37","0.62","8:59","--","158","161","2","0","--","--","--","--","158","--","--","0.71","--","--","40","29.0","8:19","173","5:31.6","8:58"
"Summary","5:39:37","5:39:37","42.62","7:58","","154","170","91","120","","","","","159","","","0.79","","","2,652","27.1","5:25","179","5:36:34","7:54"
