"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:53.0","6:53.0","1.00","6:53","6:39","141","156","17","0","240","3.75","296","4.63","167","270","","0.86","8.2","9.6","67","","6:20","177","6:51","6:51"
"2","6:21.0","13:14","1.00","6:21","6:24","148","156","0","9","230","3.59","241","3.77","174","259","","0.91","8.3","9.1","65","","6:07","177","6:21","6:21"
"3","6:21.9","19:36","1.00","6:22","6:27","150","155","3","10","231","3.61","264","4.13","176","258","","0.89","8.0","9.1","65","","6:03","180","6:21.9","6:22"
"4","6:27.1","26:03","1.00","6:27","6:30","153","155","2","3","231","3.61","257","4.02","176","259","","0.87","8.0","9.1","66","","6:15","179","6:27","6:27"
"5","6:51.5","32:55","1.00","6:52","6:34","159","164","18","0","240","3.75","262","4.09","175","263","","0.83","7.8","9.4","72","","6:19","180","6:51","6:51"
"6","6:30.8","39:25","1.00","6:31","6:30","157","161","4","3","231","3.61","257","4.02","176","260","","0.87","8.0","9.1","67","","6:21","179","6:30.8","6:31"
"7","6:33.4","45:59","1.00","6:33","6:32","159","161","7","2","231","3.61","258","4.03","176","260","","0.86","7.9","9.2","68","","6:23","179","6:33.4","6:33"
"8","6:36.6","52:35","1.00","6:37","6:28","162","166","13","0","241","3.77","285","4.45","176","261","","0.85","7.9","9.3","70","","6:08","181","6:36","6:36"
"9","6:15.9","58:51","1.00","6:16","6:15","160","168","6","14","238","3.72","298","4.66","175","257","","0.92","8.3","8.9","68","","5:51","181","6:15.9","6:16"
"10","7:08.0","1:05:59","1.00","7:08","7:07","154","161","6","5","215","3.36","270","4.22","168","267","","0.83","7.8","9.4","67","","6:23","177","7:08","7:08"
"11","7:07.8","1:13:07","1.00","7:08","6:57","155","161","12","3","223","3.48","319","4.98","163","301","","0.86","7.8","9.1","67","","5:06","187","7:07","7:07"
"12","6:09.5","1:19:16","1.00","6:10","6:18","160","164","0","11","232","3.63","266","4.16","171","260","","0.94","8.2","8.8","65","","5:46","231","6:09.5","6:09"
"13","6:02.5","1:25:19","1.00","6:02","6:07","163","166","1","7","244","3.81","280","4.38","172","258","","0.94","8.2","8.7","66","","5:41","181","6:02","6:02"
"14","6:35.3","1:31:54","1.00","6:35","6:28","160","166","3","4","225","3.52","295","4.61","160","270","","0.92","8.1","8.8","67","","5:30","181","6:33","6:33"
"15","6:16.6","1:38:11","1.00","6:17","6:27","159","164","0","20","231","3.61","260","4.06","174","258","","0.92","8.3","9.0","62","","5:31","177","6:16","6:16"
"16","6:58.5","1:45:09","1.00","6:59","6:55","156","161","2","1","219","3.42","243","3.80","171","273","","0.84","7.7","9.3","67","","6:27","179","6:58.5","6:59"
"17","7:09.0","1:52:18","1.00","7:09","7:07","156","163","1","2","211","3.30","260","4.06","164","293","","0.84","7.7","9.1","65","","6:00","179","7:09.0","7:09"
"18","7:13.9","1:59:32","1.00","7:14","7:11","153","162","9","2","216","3.38","273","4.27","163","307","","0.84","7.7","9.2","63","","5:56","181","7:13.9","7:14"
"19","7:35.4","2:07:08","1.00","7:35","7:21","152","161","8","0","204","3.19","294","4.59","154","315","","0.83","7.7","9.3","67","","5:46","179","7:35","7:35"
"20","8:17.1","2:15:25","1.00","8:17","8:00","153","160","4","13","178","2.78","316","4.94","139","262","","0.87","8.0","9.3","68","","5:09","179","7:07","7:07"
"21","6:53.8","2:22:19","1.00","6:54","7:01","155","158","1","15","214","3.34","237","3.70","173","265","","0.84","8.0","9.5","61","","6:33","177","6:53.8","6:54"
"22","7:29.7","2:29:48","1.00","7:30","7:32","151","157","0","4","197","3.08","231","3.61","161","298","","0.81","7.8","9.5","61","","6:47","176","7:29.7","7:30"
"23","7:05.7","2:36:54","1.00","7:06","7:06","156","160","2","1","215","3.36","237","3.70","175","265","","0.80","7.7","9.6","63","","6:55","179","7:05","7:05"
"24","7:37.3","2:44:31","1.00","7:37","7:40","151","158","0","5","190","2.97","226","3.53","162","301","","0.80","7.6","9.5","61","","6:35","179","7:37.3","7:37"
"25","7:43.1","2:52:14","1.00","7:43","7:49","150","157","3","8","184","2.88","245","3.83","158","305","","0.79","7.5","9.5","59","","6:44","177","7:43","7:43"
"26","7:43.3","2:59:58","1.00","7:43","7:46","153","160","1","0","190","2.97","226","3.53","165","292","","0.77","7.4","9.6","62","","6:49","181","7:43","7:43"
