"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"27","8:45.6","3:08:43","1.00","8:45","8:31","149","161","7","2","171","2.67","241","3.77","146","354","","0.78","7.4","9.5","63","","6:52","181","8:45.6","8:46"
"28","8:46.3","3:17:30","1.00","8:46","8:30","150","159","14","0","181","2.83","235","3.67","149","357","","0.77","7.3","9.6","63","","7:25","176","8:46","8:46"
"29","8:21.2","3:25:51","1.00","8:21","8:11","150","157","12","0","191","2.98","240","3.75","158","325","","0.76","7.4","9.8","62","","7:30","174","8:21","8:21"
"30","9:00.9","3:34:52","1.00","9:01","8:58","146","159","1","8","155","2.42","221","3.45","141","338","","0.78","7.4","9.5","61","","7:04","174","8:49","8:49"
"31","7:52.1","3:42:44","1.00","7:52","7:59","144","151","0","13","184","2.88","216","3.38","161","295","","0.79","7.7","9.8","58","","7:05","172","7:52","7:52"
"32","9:31.6","3:52:15","1.00","9:31","9:39","135","149","0","10","141","2.20","220","3.44","135","382","","0.76","7.1","9.4","56","","7:10","174","9:31.6","9:32"
"33","9:10.9","4:01:26","1.00","9:11","8:51","141","151","18","5","166","2.59","224","3.50","136","384","","0.78","7.3","9.3","60","","6:59","172","9:10.9","9:11"
"34","9:25.6","4:10:52","1.00","9:26","8:51","142","151","18","2","166","2.59","246","3.84","135","384","","0.81","7.2","9.0","62","","6:54","174","9:25","9:25"
"35","8:46.5","4:19:38","1.00","8:47","8:40","143","154","8","8","168","2.63","237","3.70","146","341","","0.78","7.4","9.5","59","","6:59","174","8:46.5","8:46"
"36","0:04.4","4:19:43","0.01","8:04","9:27","136","136","0","0","131","2.05","135","2.11","127","444","","0.78","7.0","8.9","0","","9:45","127","0:03","5:33"
"Summary","4:19:43","4:19:43","35.01","7:25","7:22","151","168","201","194","203","3.17","319","4.98","160","298","","0.83","7.7","9.3","2,243","","5:06","231","4:18:09","7:22"
